|bnpparibas|brand|BNP Paribas|
|bn|country-code|Authority for Info-communications Technology Industry of Brunei Darussalam (AITI)|
|boats|generic|XYZ.COM LLC|
|boehringer|brand|Boehringer Ingelheim International GmbH|
|boehringer|brand|Boehringer Ingelheim|
|bofa|generic|Bank of America Corporation|
|bom|generic|Núcleo de Informação e Coordenação do Ponto BR - NIC.br|
|bond|brand|Bond University[11]|
|bond|brand|Shortdot SA|
|booking|brand|Booking.com B.V.|
|booking|brand|Booking.com|
|book|generic|Amazon Registry Services, Inc.|
|boots|generic|Not assigned|
|boo|generic|Charleston Road Registry Inc.|
|bosch|brand|Robert Bosch GMBH|
|bosch|brand|Robert Bosch GmbH|
|bostik|brand|Bostik SA|
|bostik|brand|Bostik|
|boston|generic|Registry Services, LLC|
|bot|generic|Amazon Registry Services, Inc.|
|boutique|generic|Binky Moon, LLC|
|box|generic|Intercap Registry Inc.|
|bo|country-code|Agencia para el Desarrollo de la Información de la Sociedad en Bolivia|
|bq|country-code|Not assigned|
|bradesco|brand|Banco Bradesco S.A.|
|bradesco|brand|Bradesco|
|brave|brand|Brave Software|
|bridgestone|brand|Bridgestone Corporation|
|bridgestone|brand|Bridgestone|
|broadway|generic|Celebrate Broadway, Inc.|
|broker|generic|Dog Beach, LLC|
|brother|brand|Brother Industries, Ltd.|
|brother|brand|Brother Industries|
|brussels|generic|DNS.be vzw|
|br|country-code|Comite Gestor da Internet no Brasil|
|bs|country-code|University of The Bahamas|
|bt|country-code|Ministry of Information and Communications|
|budapest|generic|Not assigned|
|bugatti|brand|Bugatti|
|bugatti|brand|Not assigned|
|builders|generic|Binky Moon, LLC|
|build|generic|Plan Bee LLC|
|business|generic|Binky Moon, LLC|
|buy|generic|Amazon Registry Services, INC|
|buzz|generic|DOTSTRATEGY CO.|
|bv|country-code|Norid A/S|
|bw|country-code|Botswana Communications Regulatory Authority (BOCRA)|
|by|country-code|Belarusian Cloud Technologies LLC|
|bzh|generic|Association www.bzh|
|bz|country-code|University of Belize|
|cab|generic|Binky Moon, LLC|
|cafe|generic|Binky Moon, LLC|
|call|generic|Amazon Registry Services, Inc.|
|calvinklein|brand|PVH gTLD Holdings LLC|
|calvinklein|brand|PVH|
|cal|brand|Charleston Road Registry Inc.|
|cal|brand|Google (Calendar)|
|camera|generic|Binky Moon, LLC|
|camp|generic|Binky Moon, LLC|
|cam|generic|CAM Connecting SarL|
|cancerresearch|generic|Not assigned|
|canon|brand|Canon Inc.|
|canon|brand|Canon|
|capetown|generic|ZA Central Registry NPC trading as ZA Central Registry|
|capitalone|brand|Capital One Financial Corporation|
|capitalone|brand|Capital One|
|capital|generic|Binky Moon, LLC|
|caravan|brand|Caravan International, Inc.|
|caravan|brand|Caravan International|
|cards|generic|Binky Moon, LLC|
|careers|generic|Binky Moon, LLC|
|career|generic|dotCareer LLC|
|care|generic|Binky Moon, LLC|
|cars|generic|XYZ.COM LLC|
|cartier|brand|Not assigned|
|cartier|brand|Richemont DNS|
|car|generic|XYZ.COM LLC|
|casa|generic|Registry Services, LLC|
|caseih|generic|Not assigned|
|case|generic|Digity, LLC|
|cash|generic|Binky Moon, LLC|
|casino|generic|Binky Moon, LLC|
|catering|generic|Binky Moon, LLC|
|catholic|brand|Pontifical Council for Social Communications|
|catholic|brand|Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)|
|cat|sponsored|Fundacio puntCAT|
|ca|country-code|Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI)|
|cba|brand|COMMONWEALTH BANK OF AUSTRALIA|
|cba|brand|Commonwealth Bank|
|cbn|brand|Christian Broadcasting Network|
|cbn|brand|The Christian Broadcasting Network, Inc.|
|cbre|brand|CBRE Group|
|cbre|brand|CBRE, Inc.|
|cbs|brand|CBS|
|cbs|brand|Not assigned|
|cc|country-code|eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services|
|cd|country-code|Office Congolais des Postes et Télécommunications - OCPT|
|ceb|generic|Not assigned|
|center|generic|Binky Moon, LLC|
|ceo|generic|XYZ.COM LLC|
|cern|brand|CERN|
|cern|brand|European Organization for Nuclear Research ("CERN")|
|cfa|brand|CFA Institute|
|cfd|generic|Shortdot SA|
|cf|country-code|Societe Centrafricaine de Telecommunications (SOCATEL)|
|cg|country-code|Interpoint Switzerland|
|chanel|brand|Chanel International B.V.|
|chanel|brand|Chanel|
|channel|generic|Charleston Road Registry Inc.|
|charity|generic|Public Interest Registry (PIR)|
|chase|brand|Chase Bank|
